Comment,Designator,Footprint,LCSC
0.1,C8,C_0603_1608Metric,C14663
100k,"R6,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
10uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
249,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C170852
20nF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1726
10k,"R1,R20,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
1k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
10pF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1785
22pF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1804
226k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C228638
10K,"R10,R11,R12,R8",R_0603_1608Metric,C25804
0.1uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
1uF,"C18,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
ADS1115IDGS,U3,TSSOP-10_3x3mm_P0.5mm,C37593
0.47pF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C519998
LT1807IS8#PBF,U2,SOIC-8_3.9x4.9mm_P1.27mm,C665381
47uH,L1,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C66936
2.5k Ohms,L2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C78138
40V 500mA,"D1,D2",D_SOD-123,C8598
LT3461ES6#TRPBF,U1,TSOT-23-6,
Conn_01x05_Female,J1,Molex_Pico-Lock_504050-0591_1x05-1MP_P1.50mm_Horizontal,
Test_Point1,TP2,TestPoint_THTPad_D3.0mm_Drill1.5mm,
0k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Test_Point1,TP3,TestPoint_THTPad_D3.0mm_Drill1.5mm,
GND,TP4,TestPoint_THTPad_4.0x4.0mm_Drill2.0mm,
24.9k,R24,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Test_Point1,TP1,TestPoint_THTPad_D3.0mm_Drill1.5mm,
0F,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MICROFJ-60035-TSV-TR1,IC1,MICROFJ60035TSVTR1,
