Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,215.198,-87.2858,90.0,top
C2,0.47pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.848,-87.3073,90.0,top
C3,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,221.294,-87.3288,-90.0,top
C4,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,214.4,-59.6,-90.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,210.88,-59.6,-90.0,top
C6,20nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.818,-74.2644,180.0,top
C7,10pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,205.038,-67.0375,90.0,top
C8,0.1,C_0603_1608Metric,168.0,-72.91,0.0,top
C14,0F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,230.946,-93.4033,90.0,top
C18,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,201.99,-87.2858,90.0,top
D1,40V 500mA,D_SOD-123,223.7418,-70.5052,180.0,top
D2,40V 500mA,D_SOD-123,223.7164,-66.8476,180.0,top
IC1,MICROFJ-60035-TSV-TR1,MICROFJ60035TSVTR1,203.32,-94.08,0.0,bottom
J1,Conn_01x05_Female,Molex_Pico-Lock_504050-0591_1x05-1MP_P1.50mm_Horizontal,166.2,-94.2,-90.0,top
L1,47uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,212.3675,-96.1973,0.0,top
L2,2.5k Ohms,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.546,-87.3198,90.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,217.992,-87.2913,-90.0,top
R2,226k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,211.896,-87.2698,-90.0,top
R3,249,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,196.402,-67.0,90.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,237.804,-84.7458,-90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,200.72,-67.0,90.0,top
R6,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,223.8434,-59.1768,180.0,top
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,223.818,-63.19,180.0,top
R8,10K,R_0603_1608Metric,173.05,-98.95,-90.0,top
R9,0k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,238.566,-93.3658,-90.0,top
R10,10K,R_0603_1608Metric,164.9,-81.2,180.0,top
R11,10K,R_0603_1608Metric,164.8,-72.9,0.0,top
R12,10K,R_0603_1608Metric,165.6,-71.3,0.0,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,232.216,-84.9838,-90.0,top
R24,24.9k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,234.756,-93.3658,-90.0,top
U1,LT3461ES6#TRPBF,TSOT-23-6,218.6775,-96.1973,180.0,top
U2,LT1807IS8#PBF,SOIC-8_3.9x4.9mm_P1.27mm,212.723,-72.461,180.0,top
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,166.92,-77.38,90.0,top
