Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1,C_0603_1608Metric,28.65,-72.79,0.0,top
C4,1uF,C_0603_1608Metric,34.8105,-50.34,-90.0,top
C5,50pF,C_0603_1608Metric,36.6385,-59.44,180.0,top
C6,1uF,C_0603_1608Metric,42.0355,-54.84,-90.0,top
C7,0.47pF,C_0603_1608Metric,43.4965,-54.84,-90.0,top
C8,1uF,C_0603_1608Metric,48.0685,-54.84,-90.0,top
C9,?,C_0603_1608Metric,28.675,-103.585,0.0,top
D1,DIODE,D_SOD-323,23.2,-110.8,-90.0,top
D2,DIODE,D_SOD-323,25.3,-103.6,0.0,top
IC1,MICROFJ-60035-TSV-TR1,MICROFJ60035TSVTR1,64.0,-94.0,0.0,top
IC2,LT3461AES6#TRMPBF,TSOT-23-6,38.1625,-53.95,0.0,top
J1,Conn_01x05_Female,Molex_Pico-Lock_504050-0591_1x05-1MP_P1.50mm_Horizontal,27.0,-94.0,-90.0,top
L2,18uH,L_1210_3225Metric,38.1625,-50.268,0.0,top
L3,2.5k Ferrite,R_0603_1608Metric,45.7825,-54.078,0.0,top
R1,10K,R_0603_1608Metric,24.1,-74.3,180.0,top
R2,10K,R_0603_1608Metric,25.55,-81.19,180.0,top
R3,10K,R_0603_1608Metric,25.38,-72.78,0.0,top
R4,10K,R_0603_1608Metric,26.23,-71.26,0.0,top
R5,10K,R_0603_1608Metric,34.6065,-55.348,180.0,top
R6,280K,R_0603_1608Metric,36.6385,-57.94,0.0,top
R7,10K,R_0603_1608Metric,38.6705,-56.44,0.0,top
R8,10K,R_0603_1608Metric,27.635,-114.375,90.0,top
R9,10K,R_0603_1608Metric,23.5,-106.8,90.0,top
R10,?,R_0603_1608Metric,28.996,-80.99,180.0,top
U1,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,27.6,-77.3,90.0,top
U2,LM358,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,27.0,-109.0,90.0,top
